0.15;22;84591.26582686453
0.15;23;85755.38973990624
0.15;23;89701.22979078587
0.2;24;82699.12539215754
0.2;22;87590.63229894594
0.2;22;83996.50074169821
0.25;22;81640.37554636446
0.25;24;77783.44277734277
0.25;23;81704.60978885602
0.35;23;82816.11527531702
0.35;23;79397.25608401361
0.35;23;83329.212217143
0.4;23;86043.77828280858
0.4;22;85656.59429060118
0.4;23;91258.74176943881
0.45;22;84604.02186115604
0.45;23;79967.14153731221
0.45;23;82866.45521685245
0.5;23;81031.92261957635
0.5;24;77901.490320903
0.5;22;75871.25959847773
0.6;22;68449.42631608716
0.6;23;69297.09735309334
0.6;23;69215.15170497358
